what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.wordNext",1325494694516
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.wordPrevious",1325494694733
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.select.lineEnd",1325494695502
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.saveAll",1325494696505
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.delete.line",1325494704114
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.saveAll",1325494704987
activated,view,org.eclipse.search,3.5.1.r351_v20090708-0800,"org.eclipse.search.ui.views.SearchView",1325494718075
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325494721478
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325494724441
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325494725255
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325494731799
executed,command,org.eclipse.search,3.5.1.r351_v20090708-0800,"org.eclipse.search.ui.openSearchDialog",1325494731834
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325494732106
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325494732684
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325494737865
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325494747965
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325494751395
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325494753731
executed,command,org.eclipse.search,3.5.1.r351_v20090708-0800,"org.eclipse.search.ui.openSearchDialog",1325494753765
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325494754032
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325494754608
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325494755793
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325494758444
executed,command,org.eclipse.search,3.5.1.r351_v20090708-0800,"org.eclipse.search.ui.openSearchDialog",1325494758479
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325494758746
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325494759298
activated,editor,com.adobe.flexbuilder.mxml.editor,4.0.1.277662,"com.adobe.flexbuilder.editors.mxml.MXMLEditor",1325494767699
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1325494767711
opened,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1325494767745
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1325494767782
opened,view,com.adobe.flexbuilder.as.editor,4.0.1.277662,"com.adobe.flexbuilder.as.editor.asdocviewer",1325494767836
activated,view,com.adobe.flexbuilder.as.editor,4.0.1.277662,"com.adobe.flexbuilder.packageexplorer",1325494767847
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.ContentOutline",1325494767852
activated,view,org.eclipse.search,3.5.1.r351_v20090708-0800,"org.eclipse.search.ui.views.SearchView",1325494767855
activated,editor,com.adobe.flexbuilder.mxml.editor,4.0.1.277662,"com.adobe.flexbuilder.editors.mxml.MXMLEditor",1325494767894
closed,view,com.adobe.flexbuilder.as.editor,4.0.1.277662,"com.adobe.flexbuilder.as.editor.asdocviewer",1325494767943
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1325494767984
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.saveAll",1325494775199
error,log,,,"",1325494775227
activated,view,org.eclipse.search,3.5.1.r351_v20090708-0800,"org.eclipse.search.ui.views.SearchView",1325494775826
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1325494776081
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.saveAll",1325494780715
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325494782071
activated,view,org.eclipse.search,3.5.1.r351_v20090708-0800,"org.eclipse.search.ui.views.SearchView",1325494784952
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325494784974
executed,command,org.eclipse.search,3.5.1.r351_v20090708-0800,"org.eclipse.search.ui.openSearchDialog",1325494785013
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325494785285
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325494785858
activated,editor,com.adobe.flexbuilder.mxml.editor,4.0.1.277662,"com.adobe.flexbuilder.editors.mxml.MXMLEditor",1325494787600
closed,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1325494787612
started,bundle,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui",1325494787633
started,bundle,org.springframework.ide.eclipse.beans.ui.editor,2.3.0.200912170948-RELEASE,"org.springframework.ide.eclipse.beans.ui.editor",1325494787786
started,bundle,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.ui",1325494788101
started,bundle,org.eclipse.wst.dtd.ui,1.0.400.v200904300717,"org.eclipse.wst.dtd.ui",1325494788150
opened,editor,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1325494788193
activated,editor,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1325494788287
opened,view,com.adobe.flexbuilder.as.editor,4.0.1.277662,"com.adobe.flexbuilder.as.editor.asdocviewer",1325494788408
activated,view,com.adobe.flexbuilder.as.editor,4.0.1.277662,"com.adobe.flexbuilder.packageexplorer",1325494788421
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.ContentOutline",1325494788426
activated,view,org.eclipse.search,3.5.1.r351_v20090708-0800,"org.eclipse.search.ui.views.SearchView",1325494788431
activated,editor,com.adobe.flexbuilder.mxml.editor,4.0.1.277662,"com.adobe.flexbuilder.editors.mxml.MXMLEditor",1325494788478
closed,view,com.adobe.flexbuilder.as.editor,4.0.1.277662,"com.adobe.flexbuilder.as.editor.asdocviewer",1325494788536
activated,editor,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1325494788593
started,bundle,org.eclipse.jst.jsf.ui,1.2.3.v201001271707,"org.eclipse.jst.jsf.ui",1325494788952
started,bundle,org.eclipse.jst.j2ee.ejb,1.1.301.v201001252130,"org.eclipse.jst.j2ee.ejb",1325494788963
started,bundle,org.eclipse.jst.j2ee.jca,1.1.301.v201001252130,"org.eclipse.jst.j2ee.jca",1325494788974
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.delete.line",1325494792851
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.saveAll",1325494793642
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325494796177
activated,view,org.eclipse.search,3.5.1.r351_v20090708-0800,"org.eclipse.search.ui.views.SearchView",1325494798001
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325494798030
executed,command,org.eclipse.search,3.5.1.r351_v20090708-0800,"org.eclipse.search.ui.openSearchDialog",1325494798047
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325494798315
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325494798927
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325494815503
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325494821613
executed,command,org.eclipse.search,3.5.1.r351_v20090708-0800,"org.eclipse.search.ui.openSearchDialog",1325494821649
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325494821922
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325494822470
opened,editor,com.adobe.flexbuilder.as.editor,4.0.1.277662,"com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor",1325494823975
activated,editor,com.adobe.flexbuilder.as.editor,4.0.1.277662,"com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor",1325494824039
opened,view,com.adobe.flexbuilder.as.editor,4.0.1.277662,"com.adobe.flexbuilder.as.editor.asdocviewer",1325494824088
activated,view,com.adobe.flexbuilder.as.editor,4.0.1.277662,"com.adobe.flexbuilder.packageexplorer",1325494824099
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.ContentOutline",1325494824104
activated,view,org.eclipse.search,3.5.1.r351_v20090708-0800,"org.eclipse.search.ui.views.SearchView",1325494824110
activated,editor,com.adobe.flexbuilder.as.editor,4.0.1.277662,"com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor",1325494824122
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.saveAll",1325494835377
activated,view,org.eclipse.search,3.5.1.r351_v20090708-0800,"org.eclipse.search.ui.views.SearchView",1325494837564
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.refresh",1325494838090
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325494838363
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325494838968
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325494840861
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325494842888
executed,command,org.eclipse.search,3.5.1.r351_v20090708-0800,"org.eclipse.search.ui.openSearchDialog",1325494842921
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325494843195
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325494843748
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325494860285
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325494863777
executed,command,org.eclipse.search,3.5.1.r351_v20090708-0800,"org.eclipse.search.ui.openSearchDialog",1325494863809
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325494864081
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325494864652
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325494869262
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325494870317
executed,command,org.eclipse.search,3.5.1.r351_v20090708-0800,"org.eclipse.search.ui.openSearchDialog",1325494870365
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325494874155
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325494878967
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325494880886
